Site,site diversity (high/low),Rodent species richness (how many at each site),Tick species richness,Collection Date,Sample ID,Leave samples with AL initial for me to run :) They have very little sample left,Year,Sample Type,Species,Borrelia ,target protein,ospa genotype,ospc genotype,Tissue Extraction date  (day 1),Tissue Extraction individual LAST name,"OspA
nPCR date","OspA
nPCR person","OspA
nPCR result","OspA
gel date","OspA
gel person","OspA
Sequence Date",ospA_genotype,Genbank Accession # ospA,"OspA
Sequence Result",Notes,"OspB
nPCR date","OspB
nPCR person","OspB
nPCR result","OspB
gel date","OspB
gel person","OspB
Sequence Date",ospB_genotype,Genbank Accession # ospB,"OspB
Sequence Result",Notes,"p35
nPCR date",p35 PCR person,"p35
nPCR result","p35
gel date","p35
gel person","p35
Sequence Date",p35_genotype,Genbank Accession # p35,"p35
Sequence Result",Notes,"OspC
nPCR date","OspC
nPCR person","OspC
nPCR result","OspC
gel date","OspC
gel person","OspC
Sequence Date",ospC_genotype,Genbank Accession # ospC,"OspC
Sequence Result",Notes
CCSP,high,,,4/19/2018,18CCSP.340,AL,2018,Tick,IPAC,B. burgdorferi,,,,10/15/18,Eric,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.342,Cant find,2018,Tick,IPAC,B. burgdorferi,,,,10/15/18,Eric,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.502,AL,2018,Tick,IPAC,B. burgdorferi,,,,10/15/18,Sukhie,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.605,,2018,Tick,IPAC,B. burgdorferi,,,,10/22/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.613,,2018,Tick,IPAC,B. burgdorferi,,,,10/22/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.723,AL,2018,Tick,IPAC,B. burgdorferi,,,,10/22/18,Eric,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.734,AL,2018,Tick,IPAC,B. burgdorferi,,,,10/29/18,Sukhie,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.777,,2018,Tick,IPAC,B. burgdorferi,,,,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.778,,2018,Tick,IPAC,B. burgdorferi,,,,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.779,,2018,Tick,IPAC,B. burgdorferi,,,,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.795,AL,2018,Tick,IPAC,B. burgdorferi,,,,11/1/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.797,,2018,Tick,IPAC,B. burgdorferi,,,,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.810,,2018,Tick,IPAC,B. burgdorferi,,,,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.823,,2018,Tick,IPAC,B. burgdorferi,,,,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.827,AL,2018,Tick,IPAC,B. burgdorferi,,,,11/7/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.527,AL,2018,Tick,IPAC,B. burgdorferi,,,,12/1/18,Jordan,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.343,AL,2018,Tick,IPAC,B. burgdorferi,,,,10/15/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.346,,2018,Tick,IPAC,B. burgdorferi ,,,,10/15/18,Sukhie,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/19/2018,18CCSP.501,,2018,Tick,IPAC,B. burgdorferi,,,,10/15/18,Sukhie,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,4/20/2018,18CCSP.263,,2018,Tick,IPAC,B. burgdorferi,,,,10/15/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.801,AL,2018,Tick,IPAC,B. burgdorferi,,,,11/1/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,high,,,5/28/2018,18CCSP.826,,2018,Tick,IPAC,B. burgdorferi,,,,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
